Transaction ID,Customer Name,Merchant Name,Transaction Date,Transaction Amount (INR),Fraud Risk,Fraud Type,State,Card Type,Bank,IsFraud,Fraud Score,Transaction Category,Merchant Location
29894081.0,Veer Sridhar,Reliance Digital,08-10-2024,12194.0,High,Card Skimming,Karnataka,Visa,ICICI Bank,1.0,37.0,Electronics,Kochi
41533703.0,Kanav Chaudhary,Zomato,10-07-2024,24114.0,Medium,Card Not Present,Maharashtra,Amex,SBI,0.0,67.0,Food Delivery,Mumbai
50613866.0,Rasha Reddy,Big Bazaar,10-09-2024,2983.0,Critical,Card Skimming,Karnataka,Mastercard,Bank of Baroda,1.0,85.0,Electronics,Lucknow
74550146.0,Tiya Bir,Amazon India,05-01-2024,9673.0,Low,Account Takeover,Gujarat,Visa,Bank of Baroda,0.0,91.0,Food Delivery,Chennai
99502840.0,Urvi Ghose,Lifestyle,25-07-2024,8158.0,High,Identity Theft,Karnataka,Visa,Yes Bank,0.0,24.0,E-commerce,Lucknow
27654485.0,Yuvaan Sidhu,Lifestyle,19-07-2024,2375.0,High,Card Not Present,Maharashtra,Amex,HDFC Bank,0.0,83.0,Transportation,Lucknow
73074171.0,Ojas Shah,Zomato,31-07-2024,10950.0,Medium,Identity Theft,Gujarat,Visa,HDFC Bank,0.0,81.0,Apparel,Delhi
93774582.0,Tara Johal,Uber,11-10-2024,6527.0,Low,Identity Theft,Delhi,Mastercard,Federal Bank,0.0,90.0,Food Delivery,Mumbai
46788591.0,Diya Bajaj,Lifestyle,28-04-2024,9549.0,Medium,Card Skimming,Kerala,Mastercard,HDFC Bank,0.0,88.0,Groceries,Hyderabad
27824277.0,Faiyaz Cheema,Swiggy,23-10-2024,5461.0,Medium,Card Not Present,Delhi,Rupay,Axis Bank,0.0,48.0,Transportation,Mumbai
16938100.0,Aradhya Dhillon,Uber,11-01-2024,24489.0,Low,Identity Theft,Rajasthan,Rupay,Federal Bank,1.0,29.0,Transportation,Bangalore
66943130.0,Biju Sood,Lifestyle,02-10-2024,24680.0,Low,Identity Theft,Maharashtra,Mastercard,SBI,0.0,80.0,Food Delivery,Delhi
68375255.0,Alia Dugar,Myntra,15-02-2024,24578.0,Low,Card Not Present,Rajasthan,Visa,Federal Bank,0.0,35.0,E-commerce,Delhi
50941021.0,Oorja Borah,Amazon India,12-12-2024,11195.0,Medium,Account Takeover,Tamil Nadu,Mastercard,Andhra Bank,1.0,67.0,Groceries,Ahmedabad
60606372.0,Kanav Choudhary,Flipkart,27-07-2024,1714.0,Medium,Account Takeover,Tamil Nadu,Visa,Andhra Bank,1.0,71.0,Electronics,Hyderabad
32201823.0,Zaina Hegde,Flipkart,14-11-2024,14207.0,Low,Identity Theft,Telangana,Mastercard,Federal Bank,0.0,21.0,Transportation,Lucknow
53667574.0,Yakshit Handa,Zomato,08-04-2024,9803.0,Low,Card Not Present,Tamil Nadu,Mastercard,Bank of Baroda,0.0,90.0,Electronics,Chennai
80084680.0,Nehmat Sangha,Amazon India,03-12-2024,17897.0,Medium,Account Takeover,Delhi,Amex,Yes Bank,0.0,49.0,E-commerce,Chennai
18010953.0,Samarth Wason,Reliance Digital,19-01-2024,22366.0,Medium,Card Skimming,Tamil Nadu,Mastercard,Yes Bank,1.0,45.0,Groceries,Kolkata
39335891.0,Umang Soman,Flipkart,15-08-2024,4064.0,Medium,Phishing,Maharashtra,Rupay,Federal Bank,0.0,30.0,Groceries,Ahmedabad
83700642.0,Kartik Bose,Uber,02-08-2024,10336.0,Critical,Card Not Present,West Bengal,Amex,Kotak Bank,0.0,29.0,Electronics,Kolkata
54662150.0,Prerak Zacharia,Swiggy,15-07-2024,1569.0,Medium,Identity Theft,Gujarat,Rupay,ICICI Bank,0.0,70.0,Transportation,Hyderabad
45082504.0,Hiran Upadhyay,Tata Cliq,13-02-2024,23775.0,Medium,Identity Theft,Karnataka,Rupay,Yes Bank,0.0,64.0,Groceries,Mumbai
54121424.0,Mamooty Vyas,Zomato,05-09-2024,6711.0,High,Identity Theft,Telangana,Rupay,Axis Bank,0.0,80.0,Groceries,Kochi
72144690.0,Samar Tandon,Amazon India,26-01-2024,16974.0,Low,Card Skimming,Delhi,Amex,Axis Bank,0.0,50.0,Food Delivery,Chennai
52166999.0,Pari Behl,Lifestyle,08-07-2024,14653.0,High,Phishing,Maharashtra,Mastercard,SBI,0.0,45.0,Transportation,Chennai
50032908.0,Yakshit Saran,Lifestyle,30-12-2023,9248.0,Medium,Card Not Present,Tamil Nadu,Visa,Federal Bank,0.0,32.0,Electronics,Kochi
81281786.0,Drishya Ganesan,Zomato,14-04-2024,23122.0,Low,Card Skimming,Tamil Nadu,Visa,Federal Bank,0.0,94.0,E-commerce,Delhi
83454657.0,Misha Kashyap,Flipkart,29-10-2024,842.0,Medium,Card Skimming,Tamil Nadu,Mastercard,Bank of Baroda,0.0,26.0,Electronics,Hyderabad
17097793.0,Ranbir Shankar,Zomato,13-11-2024,5546.0,High,Identity Theft,Telangana,Rupay,Axis Bank,0.0,91.0,Apparel,Chennai
34894049.0,Onkar Deol,Lifestyle,02-01-2024,16758.0,Low,Card Not Present,Delhi,Mastercard,HDFC Bank,0.0,50.0,E-commerce,Delhi
84776733.0,Nakul Upadhyay,Big Bazaar,16-09-2024,4351.0,High,Card Not Present,Gujarat,Rupay,Yes Bank,1.0,70.0,Apparel,Jaipur
92240744.0,Tanya Shanker,Tata Cliq,05-06-2024,16904.0,High,Card Skimming,Rajasthan,Mastercard,Andhra Bank,1.0,10.0,Electronics,Chennai
67571367.0,Priyansh Sangha,Lifestyle,22-03-2024,19397.0,Low,Card Skimming,Kerala,Mastercard,Federal Bank,1.0,13.0,Transportation,Lucknow
53817550.0,Aniruddh Sem,Tata Cliq,25-05-2024,16870.0,Critical,Identity Theft,Uttar Pradesh,Rupay,Yes Bank,0.0,39.0,E-commerce,Hyderabad
36057699.0,Oorja Dhillon,Uber,29-06-2024,4014.0,Low,Card Not Present,Tamil Nadu,Visa,Kotak Bank,0.0,90.0,Apparel,Jaipur
90448570.0,Myra Baral,Swiggy,05-08-2024,20415.0,Low,Account Takeover,Uttar Pradesh,Visa,Federal Bank,0.0,11.0,Electronics,Jaipur
39560366.0,Raghav Goswami,Lifestyle,16-12-2023,14479.0,Medium,Card Not Present,Rajasthan,Mastercard,SBI,0.0,68.0,Apparel,Delhi
45163069.0,Jivin Shah,Lifestyle,27-07-2024,1603.0,Medium,Card Skimming,Rajasthan,Mastercard,Yes Bank,0.0,17.0,Transportation,Kolkata
24538975.0,Indranil Dar,Uber,18-06-2024,11770.0,Medium,Card Not Present,Kerala,Amex,Andhra Bank,0.0,32.0,E-commerce,Kolkata
65571276.0,Siya Mand,Flipkart,27-07-2024,3431.0,High,Card Skimming,Delhi,Mastercard,Federal Bank,0.0,85.0,Apparel,Chennai
58333520.0,Hridaan Lanka,Uber,30-01-2024,9612.0,Medium,Phishing,Maharashtra,Visa,Bank of Baroda,0.0,53.0,E-commerce,Ahmedabad
22921041.0,Devansh Dutta,Myntra,12-09-2024,23243.0,Low,Card Skimming,Rajasthan,Visa,SBI,0.0,65.0,Electronics,Kochi
66957487.0,Prisha Sani,Zomato,11-10-2024,23671.0,Medium,Identity Theft,Uttar Pradesh,Amex,Andhra Bank,0.0,79.0,Transportation,Jaipur
50449721.0,Anika Kaur,Amazon India,16-03-2024,5188.0,Medium,Identity Theft,Kerala,Amex,Yes Bank,1.0,14.0,Electronics,Delhi
75029599.0,Hrishita Mangal,Lifestyle,06-11-2024,11728.0,Low,Account Takeover,West Bengal,Mastercard,ICICI Bank,0.0,42.0,E-commerce,Lucknow
90805536.0,Urvi Gole,Flipkart,20-05-2024,1056.0,Low,Phishing,Delhi,Rupay,Kotak Bank,0.0,36.0,Transportation,Ahmedabad
84143515.0,Neysa Bir,Swiggy,17-11-2024,6783.0,Low,Card Not Present,Uttar Pradesh,Rupay,Andhra Bank,0.0,83.0,Electronics,Kolkata
81421351.0,Aaina Kanda,Tata Cliq,22-08-2024,19964.0,Low,Account Takeover,Gujarat,Rupay,ICICI Bank,0.0,11.0,Apparel,Bangalore
48347365.0,Mannat Krishnamurthy,Tata Cliq,07-03-2024,7131.0,High,Account Takeover,Gujarat,Rupay,SBI,0.0,63.0,Apparel,Delhi
32663828.0,Jivin Tripathi,Reliance Digital,12-10-2024,7525.0,Low,Card Skimming,Uttar Pradesh,Amex,HDFC Bank,0.0,48.0,Transportation,Ahmedabad
80937684.0,Samaira Sahni,Amazon India,11-01-2024,16351.0,Low,Identity Theft,Uttar Pradesh,Rupay,Yes Bank,0.0,94.0,Transportation,Mumbai
87301985.0,Kimaya Buch,Big Bazaar,27-04-2024,21512.0,Low,Card Skimming,Kerala,Rupay,HDFC Bank,0.0,35.0,Apparel,Lucknow
72182629.0,Samaira Goswami,Big Bazaar,19-02-2024,20170.0,Low,Account Takeover,Maharashtra,Rupay,HDFC Bank,0.0,39.0,Apparel,Jaipur
23733893.0,Samaira Bansal,Flipkart,30-07-2024,11347.0,Low,Card Not Present,Telangana,Rupay,Axis Bank,0.0,16.0,Transportation,Hyderabad
21412415.0,Riya Rajagopalan,Reliance Digital,21-10-2024,21657.0,Low,Account Takeover,Uttar Pradesh,Rupay,Axis Bank,0.0,14.0,Apparel,Bangalore
42755409.0,Alia Sani,Reliance Digital,18-05-2024,24075.0,Low,Identity Theft,Telangana,Mastercard,Yes Bank,0.0,19.0,Transportation,Bangalore
36099694.0,Divij Chatterjee,Flipkart,18-06-2024,14154.0,Critical,Account Takeover,Maharashtra,Mastercard,Yes Bank,0.0,81.0,Electronics,Lucknow
34550377.0,Kartik Khatri,Uber,23-05-2024,23336.0,Medium,Card Skimming,West Bengal,Rupay,Axis Bank,0.0,54.0,Apparel,Delhi
13995329.0,Mohanlal Vyas,Zomato,07-04-2024,3837.0,Medium,Account Takeover,Telangana,Mastercard,Andhra Bank,0.0,69.0,Apparel,Lucknow
22639242.0,Pari Bath,Lifestyle,08-09-2024,18705.0,Low,Card Not Present,Maharashtra,Rupay,Federal Bank,1.0,58.0,Food Delivery,Chennai
24287784.0,Ranbir Buch,Zomato,29-12-2023,22715.0,Medium,Phishing,Delhi,Rupay,Kotak Bank,0.0,75.0,E-commerce,Mumbai
38716212.0,Aniruddh Choudhury,Myntra,23-09-2024,2094.0,Critical,Account Takeover,Gujarat,Visa,Federal Bank,1.0,73.0,E-commerce,Kolkata
50152639.0,Divij Venkatesh,Tata Cliq,29-12-2023,24973.0,Low,Card Not Present,Telangana,Mastercard,Axis Bank,0.0,46.0,Electronics,Bangalore
10560987.0,Priyansh Sandal,Flipkart,25-06-2024,19521.0,High,Card Skimming,Kerala,Visa,Axis Bank,1.0,38.0,Transportation,Ahmedabad
62563619.0,Amani Tak,Lifestyle,06-08-2024,832.0,Medium,Card Not Present,Kerala,Rupay,SBI,0.0,46.0,Electronics,Bangalore
40409910.0,Dishani Acharya,Myntra,31-03-2024,1695.0,Low,Card Not Present,Delhi,Visa,HDFC Bank,1.0,55.0,E-commerce,Jaipur
10117276.0,Vivaan Agrawal,Zomato,06-11-2024,6908.0,Low,Card Not Present,West Bengal,Amex,Andhra Bank,0.0,38.0,Food Delivery,Kolkata
75147301.0,Anvi Srinivasan,Lifestyle,02-11-2024,9688.0,High,Phishing,Delhi,Amex,Andhra Bank,0.0,18.0,E-commerce,Ahmedabad
53631628.0,Biju Chopra,Tata Cliq,02-04-2024,20610.0,Medium,Card Skimming,Maharashtra,Mastercard,ICICI Bank,0.0,45.0,Apparel,Ahmedabad
95200804.0,Saira Ganguly,Zomato,01-07-2024,2790.0,Medium,Card Not Present,Kerala,Rupay,HDFC Bank,0.0,61.0,Food Delivery,Delhi
89200981.0,Navya Randhawa,Tata Cliq,08-12-2024,2861.0,Critical,Phishing,Gujarat,Mastercard,SBI,0.0,25.0,Apparel,Bangalore
15784540.0,Ritvik Jha,Swiggy,10-02-2024,3776.0,Low,Card Skimming,Uttar Pradesh,Amex,Bank of Baroda,1.0,69.0,Electronics,Kolkata
65154221.0,Rohan Devi,Amazon India,06-01-2024,2760.0,Low,Card Skimming,Kerala,Visa,ICICI Bank,0.0,39.0,Apparel,Bangalore
87824397.0,Mohanlal Bhat,Swiggy,12-06-2024,18868.0,Low,Account Takeover,Tamil Nadu,Amex,Kotak Bank,0.0,18.0,Groceries,Delhi
21065610.0,Prerak Shan,Uber,08-06-2024,7764.0,Critical,Identity Theft,Uttar Pradesh,Mastercard,Andhra Bank,0.0,28.0,Apparel,Hyderabad
23921117.0,Adah Vyas,Flipkart,06-01-2024,18020.0,Low,Card Not Present,Kerala,Mastercard,Yes Bank,0.0,80.0,Electronics,Bangalore
22421404.0,Gokul Mani,Lifestyle,03-09-2024,4965.0,Medium,Card Skimming,Karnataka,Rupay,Federal Bank,1.0,22.0,Electronics,Ahmedabad
84552344.0,Lakshay Loyal,Big Bazaar,10-04-2024,13733.0,Critical,Card Not Present,Telangana,Rupay,Federal Bank,1.0,78.0,Apparel,Mumbai
78149926.0,Keya Chanda,Reliance Digital,13-03-2024,20336.0,High,Card Not Present,Rajasthan,Rupay,Bank of Baroda,0.0,19.0,Apparel,Jaipur
61148006.0,Tanya Bansal,Amazon India,09-06-2024,16906.0,Critical,Phishing,Uttar Pradesh,Amex,Yes Bank,0.0,33.0,Apparel,Jaipur
34034948.0,Indranil Sura,Reliance Digital,11-01-2024,8161.0,Medium,Account Takeover,Karnataka,Amex,SBI,0.0,61.0,Transportation,Chennai
62554708.0,Mannat Mandal,Lifestyle,22-08-2024,22728.0,Critical,Identity Theft,Kerala,Amex,SBI,0.0,20.0,Transportation,Bangalore
47813903.0,Sumer Lall,Flipkart,22-10-2024,10680.0,High,Account Takeover,Uttar Pradesh,Amex,Andhra Bank,0.0,15.0,Electronics,Hyderabad
58961246.0,Armaan Sha,Reliance Digital,26-10-2024,20904.0,Low,Phishing,Karnataka,Visa,Kotak Bank,0.0,90.0,Food Delivery,Kochi
42445507.0,Vardaniya Lad,Reliance Digital,08-02-2024,1295.0,High,Card Not Present,Uttar Pradesh,Amex,Yes Bank,1.0,80.0,Electronics,Lucknow
69187765.0,Onkar Bora,Big Bazaar,16-04-2024,23512.0,Low,Account Takeover,West Bengal,Rupay,Axis Bank,0.0,26.0,Groceries,Kochi
99192536.0,Fateh Wali,Lifestyle,28-07-2024,24736.0,Medium,Card Not Present,Uttar Pradesh,Amex,Yes Bank,1.0,56.0,E-commerce,Kolkata
10149344.0,Saira Dhillon,Zomato,11-07-2024,5543.0,Low,Identity Theft,Gujarat,Rupay,HDFC Bank,0.0,72.0,Transportation,Chennai
82127371.0,Anay Dara,Amazon India,01-10-2024,13102.0,Low,Phishing,Delhi,Mastercard,Federal Bank,1.0,95.0,Groceries,Bangalore
74082692.0,Sana Manne,Lifestyle,09-05-2024,11335.0,Critical,Card Skimming,Maharashtra,Rupay,Axis Bank,0.0,28.0,Transportation,Kochi
93730832.0,Yuvraj  Suri,Tata Cliq,13-10-2024,20131.0,Low,Phishing,Karnataka,Amex,Federal Bank,1.0,75.0,E-commerce,Hyderabad
27315999.0,Aarush Chaudhary,Reliance Digital,17-08-2024,12332.0,Low,Account Takeover,West Bengal,Rupay,ICICI Bank,0.0,45.0,E-commerce,Kochi
50880858.0,Rasha Uppal,Reliance Digital,02-10-2024,14191.0,High,Card Skimming,Maharashtra,Rupay,Axis Bank,0.0,67.0,Electronics,Bangalore
91232868.0,Jivika Bhatia,Zomato,03-12-2024,8956.0,High,Identity Theft,Maharashtra,Mastercard,Axis Bank,0.0,30.0,Electronics,Kolkata
37845729.0,Eva Maharaj,Reliance Digital,17-04-2024,17448.0,Low,Card Skimming,Rajasthan,Visa,Axis Bank,1.0,95.0,Apparel,Chennai
64308049.0,Zoya Borra,Amazon India,01-09-2024,10110.0,Medium,Card Skimming,Tamil Nadu,Mastercard,Kotak Bank,0.0,63.0,Food Delivery,Ahmedabad
37400867.0,Ira Mander,Lifestyle,05-08-2024,1711.0,Low,Phishing,Uttar Pradesh,Mastercard,Kotak Bank,0.0,19.0,Groceries,Kolkata
87852293.0,Aniruddh Chander,Flipkart,02-05-2024,9742.0,Low,Identity Theft,Tamil Nadu,Rupay,Yes Bank,0.0,31.0,Food Delivery,Jaipur
18250402.0,Devansh Rattan,Zomato,07-04-2024,13965.0,Low,Identity Theft,Karnataka,Mastercard,Kotak Bank,0.0,71.0,E-commerce,Kochi
85509756.0,Aradhya Bahri,Uber,07-10-2024,9632.0,Medium,Identity Theft,Kerala,Amex,Yes Bank,0.0,44.0,Transportation,Hyderabad
21329759.0,Aradhya Saha,Lifestyle,16-02-2024,10960.0,Low,Card Skimming,Uttar Pradesh,Amex,HDFC Bank,1.0,87.0,Apparel,Ahmedabad
10260467.0,Manikya Halder,Big Bazaar,28-11-2024,22184.0,Low,Identity Theft,Karnataka,Amex,Kotak Bank,1.0,39.0,Groceries,Bangalore
33505820.0,Zara Chopra,Reliance Digital,30-04-2024,24174.0,High,Account Takeover,Karnataka,Amex,Kotak Bank,0.0,34.0,Transportation,Kochi
26209976.0,Mishti Tripathi,Amazon India,04-02-2024,7917.0,Critical,Identity Theft,Delhi,Amex,ICICI Bank,0.0,55.0,Apparel,Chennai
76975447.0,Aaryahi Vaidya,Amazon India,01-05-2024,10563.0,Low,Account Takeover,Rajasthan,Visa,Kotak Bank,0.0,39.0,Food Delivery,Hyderabad
64841897.0,Lagan Grover,Big Bazaar,04-05-2024,1654.0,Low,Identity Theft,Telangana,Visa,Yes Bank,0.0,17.0,Apparel,Hyderabad
31962281.0,Prisha Warrior,Uber,03-03-2024,24837.0,Low,Card Skimming,Rajasthan,Mastercard,SBI,0.0,13.0,Transportation,Bangalore
70845514.0,Ela Gara,Big Bazaar,14-01-2024,17654.0,Medium,Card Skimming,West Bengal,Amex,Axis Bank,0.0,49.0,Electronics,Chennai
15820659.0,Siya Khatri,Uber,06-06-2024,12378.0,Medium,Identity Theft,Rajasthan,Amex,Yes Bank,1.0,81.0,Groceries,Lucknow
28323079.0,Badal Ranganathan,Amazon India,24-12-2023,13552.0,Medium,Card Not Present,Karnataka,Rupay,Federal Bank,1.0,21.0,Apparel,Delhi
28074472.0,Manikya Balasubramanian,Tata Cliq,18-05-2024,19447.0,High,Identity Theft,Maharashtra,Mastercard,Kotak Bank,0.0,60.0,Groceries,Jaipur
67323481.0,Aaina Borra,Zomato,18-06-2024,7856.0,Low,Card Skimming,Uttar Pradesh,Mastercard,SBI,0.0,77.0,Electronics,Chennai
31110526.0,Prerak Tandon,Big Bazaar,09-02-2024,13146.0,Low,Card Not Present,Uttar Pradesh,Mastercard,ICICI Bank,1.0,28.0,Transportation,Ahmedabad
49552851.0,Anaya Krishna,Flipkart,29-07-2024,15039.0,Low,Phishing,Kerala,Rupay,Yes Bank,0.0,46.0,E-commerce,Jaipur
52543004.0,Kashvi Loyal,Big Bazaar,24-09-2024,10725.0,Low,Card Skimming,Uttar Pradesh,Rupay,Bank of Baroda,0.0,37.0,Transportation,Hyderabad
85124381.0,Saanvi Sem,Uber,30-10-2024,3216.0,Low,Phishing,Tamil Nadu,Rupay,Bank of Baroda,0.0,77.0,Transportation,Bangalore
42494131.0,Vanya Hayre,Uber,02-04-2024,14502.0,Medium,Card Not Present,Karnataka,Mastercard,Bank of Baroda,0.0,59.0,Electronics,Hyderabad
47972186.0,Miraya Thaman,Swiggy,25-11-2024,4168.0,Critical,Card Not Present,Rajasthan,Visa,ICICI Bank,0.0,39.0,Transportation,Chennai
78953912.0,Ahana  Wagle,Uber,13-04-2024,23256.0,High,Account Takeover,Uttar Pradesh,Amex,Bank of Baroda,0.0,29.0,Transportation,Delhi
10869922.0,Jayesh Toor,Lifestyle,08-08-2024,22616.0,Low,Account Takeover,Delhi,Mastercard,HDFC Bank,0.0,67.0,Transportation,Mumbai
12113217.0,Jayesh Balan,Zomato,12-11-2024,23656.0,Medium,Card Not Present,West Bengal,Visa,Federal Bank,0.0,45.0,Transportation,Chennai
39463165.0,Sara Master,Myntra,27-07-2024,11634.0,Medium,Card Skimming,Gujarat,Visa,Federal Bank,0.0,37.0,Groceries,Delhi
10510765.0,Siya Varkey,Amazon India,21-04-2024,4153.0,High,Account Takeover,Telangana,Amex,Axis Bank,0.0,19.0,Groceries,Chennai
63180732.0,Hiran Ghosh,Lifestyle,08-08-2024,14305.0,Low,Card Skimming,Telangana,Visa,Axis Bank,0.0,52.0,Transportation,Hyderabad
37948619.0,Shlok Chaudhuri,Flipkart,19-12-2023,6632.0,High,Identity Theft,Tamil Nadu,Visa,Federal Bank,1.0,11.0,Transportation,Mumbai
67851025.0,Aaryahi Deo,Flipkart,10-03-2024,1017.0,High,Card Skimming,Telangana,Amex,Kotak Bank,1.0,70.0,Food Delivery,Bangalore
19485119.0,Saanvi Chakraborty,Swiggy,08-12-2024,18342.0,Critical,Card Skimming,Rajasthan,Visa,Federal Bank,1.0,82.0,E-commerce,Mumbai
78596115.0,Alisha Das,Big Bazaar,15-03-2024,4089.0,Low,Identity Theft,Maharashtra,Rupay,Yes Bank,1.0,95.0,E-commerce,Chennai
97579806.0,Divit Bains,Myntra,25-03-2024,4161.0,Low,Card Skimming,Maharashtra,Mastercard,Kotak Bank,0.0,33.0,Transportation,Delhi
73506109.0,Adah Konda,Zomato,05-04-2024,5594.0,High,Card Skimming,Rajasthan,Visa,ICICI Bank,0.0,55.0,Groceries,Ahmedabad
13543144.0,Alia Rana,Swiggy,19-05-2024,7364.0,Low,Card Skimming,Tamil Nadu,Visa,HDFC Bank,0.0,88.0,Food Delivery,Chennai
79487668.0,Aniruddh Gala,Uber,02-06-2024,19463.0,High,Identity Theft,Delhi,Visa,Andhra Bank,0.0,28.0,Food Delivery,Kochi
27833354.0,Anvi Kakar,Zomato,01-02-2024,22622.0,Critical,Identity Theft,Gujarat,Amex,SBI,1.0,19.0,Apparel,Ahmedabad
61339463.0,Zain Grover,Lifestyle,09-09-2024,2026.0,Medium,Card Skimming,Telangana,Amex,Federal Bank,0.0,64.0,Groceries,Lucknow
72726544.0,Samar Brahmbhatt,Flipkart,19-05-2024,6900.0,High,Phishing,West Bengal,Rupay,Kotak Bank,0.0,91.0,Apparel,Delhi
33650131.0,Bhavin Sule,Lifestyle,23-01-2024,1239.0,Low,Card Skimming,Tamil Nadu,Mastercard,Federal Bank,0.0,42.0,Electronics,Jaipur
16505245.0,Sumer Bala,Flipkart,11-10-2024,1166.0,High,Card Not Present,Gujarat,Amex,Andhra Bank,1.0,74.0,Food Delivery,Ahmedabad
51331760.0,Heer Soni,Amazon India,03-12-2024,13248.0,Low,Account Takeover,Karnataka,Visa,Yes Bank,0.0,68.0,E-commerce,Ahmedabad
62791884.0,Jivin Hayer,Reliance Digital,03-03-2024,795.0,High,Phishing,Tamil Nadu,Amex,Bank of Baroda,0.0,95.0,Apparel,Jaipur
17071283.0,Samaira Hayre,Tata Cliq,11-02-2024,21466.0,Low,Card Not Present,Uttar Pradesh,Amex,Axis Bank,0.0,53.0,Electronics,Lucknow
57808916.0,Hunar Devan,Amazon India,18-01-2024,2963.0,Medium,Card Skimming,Maharashtra,Rupay,SBI,1.0,26.0,E-commerce,Hyderabad
72938283.0,Devansh Mani,Reliance Digital,05-11-2024,8416.0,Low,Phishing,Gujarat,Visa,HDFC Bank,0.0,69.0,Transportation,Kochi
92838292.0,Indranil Kara,Tata Cliq,22-02-2024,5973.0,High,Card Not Present,Tamil Nadu,Mastercard,Federal Bank,0.0,74.0,E-commerce,Lucknow
49919079.0,Jhanvi Solanki,Zomato,31-05-2024,10815.0,Medium,Card Not Present,Rajasthan,Rupay,Federal Bank,0.0,69.0,Food Delivery,Delhi
51546530.0,Charvi Kaur,Zomato,10-12-2024,15064.0,High,Account Takeover,Tamil Nadu,Amex,Yes Bank,1.0,81.0,Transportation,Kolkata
29629444.0,Anya Shere,Flipkart,29-09-2024,801.0,Low,Card Not Present,Maharashtra,Amex,Andhra Bank,1.0,42.0,Food Delivery,Ahmedabad
